Nodes,measured,type,Activity
Adenine_c_,1,metabolite,-1
Cytidine-5'-DIphosphate_n_,1,metabolite,1
Cytidine-5'-DIphosphate_m_,1,metabolite,1
Cytidine-5'-DIphosphate_c_,1,metabolite,1
Cytidine-5'-DIphosphate_e_,1,metabolite,1
L-Citrulline_c_,1,metabolite,1
Ethanolamine_c_,1,metabolite,-1
L-Glutamine_c_,1,metabolite,1
Guanosine-5'-Monophosphate_n_,1,metabolite,-1
Guanosine-5'-Monophosphate_c_,1,metabolite,-1
Guanosine-5'-Monophosphate_g_,1,metabolite,-1
Reduced Glutathione_c_,1,metabolite,1
Hypoxanthine_c_,1,metabolite,-1
Inosine_c_,1,metabolite,-1
Inosine_e_,1,metabolite,-1
Isovaleryl Carnitine_c_,1,metabolite,-1
O-Propanoylcarnitine_c_,1,metabolite,-1
O-Propanoylcarnitine_m_,1,metabolite,-1
O-Propanoylcarnitine_x_,1,metabolite,-1
S-Adenosyl-L-Homocysteine_c_,1,metabolite,-1
Succinate_c_,1,metabolite,-1
Succinate_m_,1,metabolite,-1
Uridine_l_,1,metabolite,-1
Uridine_e_,1,metabolite,-1
Uridine_c_,1,metabolite,-1
Adenosine_c_,0,metabolite,-1
Adenosine_e_,0,metabolite,-1
L-Glutamate_c_,0,metabolite,1
Cytidine 5'-Monophosphate_m_,0,metabolite,1
Cytidine 5'-Monophosphate_e_,0,metabolite,1
ACP5,0,metab_enzyme,-1
CPT1C,0,metab_enzyme,-1
CDS1,0,metab_enzyme,1
ACAA1,0,metab_enzyme,-1
NME1,0,Kinase,1
NOS1,0,metab_enzyme,1
NT5E,0,metab_enzyme,-1
PLD1,0,metab_enzyme,-1
PDE9A,0,metab_enzyme,-1
PDE10A,0,metab_enzyme,-1
BCAT1,0,metab_enzyme,1
NEU3,0,metab_enzyme,1
P4HA1,0,metab_enzyme,-1
KMT5A,0,metab_enzyme,-1
Propanoyl Coenzyme A_m_,0,metabolite,-1
ADA,0,metab_enzyme,-1
CRAT,0,metab_enzyme,-1
Propanoyl Coenzyme A_x_,0,metabolite,-1
CMPK2,0,metab_enzyme,1
NME1_NME2,0,protein,1
Alpha-D-Ribose 1-Phosphate_c_,0,metabolite,-1
UPP1,0,metab_enzyme,-1
GGT5,0,metab_enzyme,1
ENTPD8,0,metab_enzyme,1
GLUL,0,metab_enzyme,1
NME2_NME1,0,protein,1
PNP,0,metab_enzyme,-1
AHCYL1,0,metab_enzyme,-1
Metab__gm3_hs_e_,0,metabolite,1
ST8SIA4,0,metab_enzyme,1
Metab__cdpdag_hs_m_,0,metabolite,1
CRLS1,0,metab_enzyme,1
PRKG1,1,Kinase,-1
CDK5,1,Kinase,1
PRKACA,0,Kinase,-1
MAPK14,0,Kinase,-1
MAPKAPK2,1,Kinase,-1
ATM,0,Kinase,1
CDK2,1,Kinase,1
MYC,0,TF,1
MAPK8,1,Kinase,1
CDK1,1,Kinase,1
INSR,1,Kinase,-1
DYRK2,1,Kinase,1
HIF1A,0,TF,-1
IL6,0,Kinase,1
GSK3A,1,Kinase,1
CSNK2A1,1,Kinase,1
PDPK1,1,Kinase,-1
PPARA,0,TF,-1
CDC7,1,Kinase,1
AR,0,TF,-1
PAK2,1,Kinase,1
PRKCE,1,Kinase,-1
MAPK9,1,Kinase,1
CSK,1,Kinase,-1
MAPK10,1,Kinase,1
CSNK2A2,1,Kinase,1
CDK7,1,Kinase,1
CDK9,1,Kinase,1
SRPK2,1,Kinase,-1
USF1,0,TF,-1
CCNE2,1,Kinase,1
MITF,0,TF,-1
CCNB1,1,Kinase,1
MAPT,1,Kinase,-1
Hydrogen Peroxide_r_,0,metabolite,-1
S-Adenosyl-L-Homocysteine_r_,1,metabolite,-1
CYP2C8,0,metab_enzyme,-1
PTPN1,0,Kinase,-1
AKT2,0,Kinase,-1
RPS6KA1,0,Kinase,-1
NMI,0,protein,1
PRKCA,0,Kinase,-1
TXN,0,Kinase,-1
CCNH,0,Kinase,1
CDC42,0,Kinase,1
RBX1,0,protein,-1
IGF1R,0,Kinase,-1
FGFR1,0,Kinase,1
MAPK12,0,Kinase,-1
SLK,0,Kinase,1
AGER,0,Kinase,1
